ID,Distribution_ID,Text_Fragment,URL,Source,Potential EE (Solved Kappa),Duplicado,Relacionado,Main-Feature,Tipo da Melhoria,Classificação,,,,Distribution,#
DP200,D4,"Ability to invoke rosidl pipeline outside CMake: ""It is now straightforward to invoke the rosidl interface generation pipeline outside CMake [...]",-,Documentation,No,,,,,,,,,,
DP201,D4,"Externally configure QoS at start-up: ""It is now possible to externally configure the QoS settings for a node at start-up time. QoS settings are not configurable during runtime [...]""",-,Documentation,No,,,,,,,,,,
DP202,D4,"Python point_cloud2 utilities available: ""Several utilities for interacting with PointCloud2 messages in Python were ported to ROS 2...""",-,Documentation,No,,,,,,,,,,
DP203,D4,"RViz2 Time Panel: ""The Rviz2 Time Panel, which shows the current Wall and ROS time, along with the elapsed Wall and ROS time, has been ported to RViz2...""",-,Documentation,No,,,,,,,,,,
DP204,D4,"Ros2 topic echo can print serialized data: ""When debugging middleware issues, it can be useful to see the raw serialized data that the RMW is sending...""",-,Documentation,No,,,,,,,,,,
DP205,D4,"Get the YAML representation of messages: ""It is now possible to get a YAML representation of all messages in C++ using the to_yaml function...""",-,Documentation,No,,,,,,,,,,
DP206,D4,"Ability to load parameter files at runtime through the ros2 command: ""Galactic adds the ability to load parameter values at runtime from a YAML file using the ros2 param load verb...""",-,Documentation,No,,,,,,,,,,
DP207,D4,"Tools to check for QoS incompatibilities: ""Built on top of new QoS compatibility check APIs...""",-,Documentation,No,,,,,,,,,,
DP208,D4,"Use launch substitutions in parameter files: ""Just like rosparam tags in ROS 1 roslaunch, launch_ros can now evaluate substitutions in parameter files...""",-,Documentation,No,,,,,,,,,,
DP209,D4,"Support for unique network flows: ""Applications may now require UDP/TCP and IP-based RMW implementations to provide unique network flows...""",-,Documentation,Yes,,,,comunicação,,,,,,
DP210,D4,"Rosbag2 New Features: Split recording by time: ""In Foxy, you could only split bags as they were recording by the size of the bag, now you can also split by the elapsed time...""",-,Documentation,No,,,,,,,,,,
DP211,D4,"ros2 bag list: ""This new command lists installed plugins of various types that rosbag2 uses...""",-,Documentation,No,,,,,,,,,,
DP212,D4,"Rosbag2 New Features: Compression implementation is a plugin: ""In Foxy, rosbag2 compression was hardcoded with a Zstd library implementation. This has been rearchitected so that compression implementations are a plugin...""",-,Documentation,No,,,,,,,,,,
DP213,D4,"Rosbag2 New Features: Compress per-message: ""In Foxy, you could automatically compress each rosbag file as it was split (per-file compression), but now you can also specify per-message compression...""",-,Documentation,No,,,,,,,,,,
DP214,D4,"Rosbag2 Python API: ""A new package rosbag2_py has been released in Galactic, which provides a Python API...""",-,Documentation,No,,,,,,,,,,
DP215,D4,"performance testing package and performance improvements: ""A thorough performance analysis project was performed on rosbag2 since the Foxy release...""",-,Documentation,Yes,,,,otimizações para melhorar a eficiência de gravação e leitura de dados,,,,,,
DP216,D4,"regex and --exclude options for topic selection: ""The new recording options --regex and --exclude allow for fine-tuning the topics recorded in a bag...""",-,Documentation,No,,,,,,,,,,
DP217,D4,"ros2 bag reindex: ""When the metadata.yaml file is lost or missing, ros2 bag reindex $bag_dir will attempt to reconstruct it by reading all the bag files in the directory...""",-,Documentation,No,,,,,,,,,,
DP218,D4,"Playback time control: ""New controls have been added for rosbag2 playback - pause & resume, change rate, and play-next...""",-,Documentation,No,,,,,,,,,,
DP219,D4,"Playback publishes /clock: ""Rosbag2 can also dictate 'simulation time' by publishing to the /clock topic during playback...""",-,Documentation,No,,,,,,,,,,
DP220,D4,"Default RMW changed to Eclipse Cyclone DDS: ""During the Galactic development process, the ROS 2 Technical Steering Committee voted to change the default ROS middleware (RMW) to Eclipse Cyclone DDS project...""",-,Documentation,Yes,,,,"comunicação, arquitetura",,,,,,
DP221,D4,"Connext RMW changed to rmw_connextdds: ""A new RMW for Connext called rmw_connextdds was merged for Galactic...""",-,Documentation,Yes,,,,maior compatibilidade,,,,,,
DP222,D4,"Large improvements in testing and overall quality: ""Galactic contains many changes that fix race conditions, plug memory leaks, and fix user reported problems...""",-,Documentation,Yes,,,,"correções, vazamentos de memória",,,,,,
DP223,D4,"New API for checking QoS profile compatibility: ""rmw_qos_profile_check_compatible is a new function for checking the compatibility of two QoS profiles...""",-,Documentation,No,,,,,,,,,,
DP224,D4,"ament_install_python_package() now installs a Python egg: ""By installing a flat Python egg, Python packages installed using ament_install_python_package() can be discovered using modules such as pkg_resources...""",-,Documentation,No,,,,,,,,,,
DP225,D4,"ament_target_dependencies() handles SYSTEM dependencies: ""Some package dependencies can now be marked as SYSTEM dependencies, helping to cope with warnings in external code...""",-,Documentation,No,,,,,,,,,,
DP226,D4,"nav2: ""Changes include, but are not limited to, a number of stability improvements, new plugins, interface changes, costmap filters...""",-,Documentation,Yes,,,,sistema de navegação,,,,,,
DP227,D4,"tf2_ros Python split out of tf2_ros: ""The Python code that used to live in tf2_ros has been moved into its own package named tf2_ros_py...""",-,Documentation,No,,,,,,,,,,
DP228,D4,"tf2_ros Python TransformListener uses global namespace: ""The Python TransformListener now subscribes to /tf and /tf_static in the global namespace...""",-,Documentation,No,,,,,,,,,,
DP229,D4,"rclcpp: Change in spin_until_future_complete template parameters: ""The first template parameter of Executor::spin_until_future_complete was the future result type ResultT...""",-,Documentation,No,,,,,,,,,,
DP230,D4,rclcpp:  Change in default /clock subscription QoS profile: ...,-,Documentation,No,,,,,,,,,,
DP231,D5,"ros2topic: ros2 topic pub now allows to set a builtin_interfaces.msg.Time message to the current time via the now keyword. Similarly, a std_msg.msg.Header message will be automatically generated when passed the keyword auto.",-,Documentation,No,,,,,,,,,,
DP232,D5,ament_cmake_gen_version_h: A new CMake function to generate a header with the package version info was added to the ament_cmake_gen_version_h.,-,Documentation,No,,,,,,,,,,
DP233,D5,"launch: Similar to launch configurations, now by default, the state of environment variables are scoped to group actions.",-,Documentation,No,,,,,,,,,,
DP234,D5,"launch_pytest: We’ve added a new package, launch_pytest, that acts as an alternative to launch_testing.",-,Documentation,No,,,,,,,,,,
DP235,D5,"Passing ROS arguments to node actions: It is now possible to provide ROS-specific node arguments directly, without needing to use args with a leading --ros-args flag.",-,Documentation,No,,,,,,,,,,
DP236,D5,Frontend support for composable nodes: We can now start node containers and load components into them from frontend launch files.,-,Documentation,No,,,,,,,,,,
DP237,D5,Parameter substitution: The new ParameterSubstitution lets you substitute the value of a parameter set previously in launch with the SetParameter action.,-,Documentation,No,,,,,,,,,,
DP238,D5,"New actions: RosTimer acts like the launch TimerAction, but uses a ROS clock (so it can use simulation time, for example).",-,Documentation,No,,,,,,,,,,
DP239,D5,"SROS2: As of Humble, it is now possible to put a CRL in an SROS2 security enclave and have it be honored.",-,Documentation,No,,,,,,,,,,
DP240,D5,Content Filtered Topics: Content Filtered Topics supports a more sophisticated subscription that indicates the subscriber does not want to necessarily see all values of each instance published under the Topic.,-,Documentation,No,,,,,,,,,,
DP241,D5,"ros2 launch has a --launch-prefix argument: This allows passing a prefix to all executables in a launch file, which is useful in many debugging situations.",-,Documentation,No,,,,,,,,,,
DP242,D5,ros2 topic echo has a --flow-style argument: This allows the user to force flow style for the YAML representation of data on a topic.,-,Documentation,No,,,,,,,,,,
DP243,D5,ros2 topic echo can filter data based on message contents: This allows the user to only print out data on a topic that matches a certain Python expression.,-,Documentation,No,,,,,,,,,,
DP244,D5,Apply textures to arbitrary triangle lists: We’ve added the ability to apply textures defined via URI to arbitrary triangle lists using UV Coordinates.,-,Documentation,No,,,,,,,,,,
DP245,D5,Visualization of mass properties (including inertia): We also added the ability to visualize inertias.,-,Documentation,No,,,,,,,,,,
DP246,D5,"Visualize YUV images in RViz: It is now possible to directly visualize YUV images inside of RViz, rather than having to convert to RGB first.",-,Documentation,No,,,,,,,,,,
DP247,D5,Allow rendering of objects > 100 meters: A new configuration property called “Far Plane Distance” in the rviz camera plugin allows that rendering distance to be configured.,-,Documentation,Yes,,,,distância de renderização de objetos,,,,,,
DP248,D5,"Support Textures and Embedded Meshes for Marker Messages: These two additions will improve the ability to both visualize data in new ways with standard messages and, simultaneously, enable the ability to track this data in rosbag.",-,Documentation,Yes,,,,visualização de dados,,,,,,
DP249,D5,"Added PRISM type to SolidPrimitive: The SolidPrimitive message had a new PRISM type added, along with the appropriate metadata.",-,Documentation,No,,,,,,,,,,
DP250,D5,"rmw_connextdds: By default, Humble Hawksbill uses Connext 6.0.1 as the DDS implementation for rmw_connextdds.",-,Documentation,No,,,,,,,,,,
DP251,D5,"Support Type Adaption for Publishers and Subscriptions: After defining a type adapter, custom data structures can be used directly by publishers and subscribers,",-,Documentation,No,,,,,,,,,,
DP252,D5,wait_for_all_acked method added to Publisher: This new method will block until all messages in the publisher queue are acked by the matching subscriptions or the specified timeout expires.,-,Documentation,No,,,,,,,,,,
DP253,D5,sleep_until and sleep_for methods added to Clock: Two new methods were added to allow sleeping on a particular clock.,-,Documentation,No,,,,,,,,,,
DP254,D5,Add Foxy Fitzroy to REP 2000 ros-infrastructure/rep,https://github.com/ros-infrastructure/rep/pull/217,Main Meta-Ticket,No,,,,,,,,,,
DP255,D5,Add release and installation pages for Foxy Fitzroy ros2_documentation,https://github.com/ros2/ros2_documentation/pull/445,Main Meta-Ticket,No,,,,,,,,,,
DP256,D5,Add ROS 2 Galactic Geochelone ros/rosdistro,https://github.com/ros/rosdistro/pull/29211,Main Meta-Ticket,No,,,,,,,,,,
DP257,D5,Add Galactic job configurations ci,https://github.com/ros2/ci/pull/571,Main Meta-Ticket,No,,,,,,,,,,
DP258,D5,add Focal option ci,https://github.com/ros2/ci/pull/376,Main Meta-Ticket,No,,,,,,,,,,
DP259,D5,Default to Ubuntu Focal for Linux jobs ci,https://github.com/ros2/ci/pull/414,Main Meta-Ticket,No,,,,,,,,,,
DP260,D5,Update ROS Rolling to Jammy osrf/docker_images,https://github.com/osrf/docker_images/pull/601,Main Meta-Ticket,No,,,,,,,,,,
DP261,D5,Add a Suite3 option with Ubuntu Focal. ros-infrastructure/catkin_pkg,https://github.com/ros-infrastructure/catkin_pkg/pull/271,Main Meta-Ticket,No,,,,,,,,,,
DP262,D5,add Suite3 including Focal ros-infrastructure/rospkg,https://github.com/ros-infrastructure/rospkg/pull/184,Main Meta-Ticket,No,,,,,,,,,,
DP263,D5,add Suite3 including Focal ros-infrastructure/rosdistro,https://github.com/ros-infrastructure/rosdistro/pull/148,Main Meta-Ticket,No,,,,,,,,,,
DP264,D5,Add Suite3 option with Ubuntu Focal ros-infrastructure/rosdep,https://github.com/ros-infrastructure/rosdep/pull/734,Main Meta-Ticket,No,,,,,,,,,,
DP265,D5,Add Suite3 option with Ubuntu Focal ros-infrastructure/bloom,https://github.com/ros-infrastructure/bloom/pull/558,Main Meta-Ticket,No,,,,,,,,,,
DP266,D5,Add Suite3 option with Ubuntu Focal ros-infrastructure/rosinstall_generator,https://github.com/ros-infrastructure/rosinstall_generator/pull/62,Main Meta-Ticket,No,,,,,,,,,,
DP267,D5,add Suite3 including Focal dirk-thomas/vcstool,https://github.com/dirk-thomas/vcstool/pull/112,Main Meta-Ticket,No,,,,,,,,,,
DP268,D5,Migrate packages from Rolling to Galactic ros/rosdistro,https://github.com/ros/rosdistro/pull/29221,Main Meta-Ticket,No,,,,,,,,,,
DP269,D5,Set Humble release versions,https://github.com/ros2/ros2/pull/1274,Main Meta-Ticket,No,,,,,,,,,,
DP270,D5,Update development branches for Galactic ros/rosdistro,https://github.com/ros/rosdistro/pull/29267,Main Meta-Ticket,No,,,,,,,,,,
DP271,D5,Add CI jobs for ROS 2 Galactic ros_buildfarm_config,https://github.com/ros2/ros_buildfarm_config/pull/157,Main Meta-Ticket,No,,,,,,,,,,
DP272,D5,Foxy development repos file ros2_documentation,https://github.com/ros2/ros2_documentation/pull/752,Main Meta-Ticket,No,,,,,,,,,,
DP273,D5,Add release and source builds for ROS 2 Galactic ros_buildfarm_config,https://github.com/ros2/ros_buildfarm_config/pull/155,Main Meta-Ticket,No,,,,,,,,,,
DP274,D5,List install instructions for Foxy on main install page ros2_documentation,https://github.com/ros2/ros2_documentation/pull/746,Main Meta-Ticket,No,,,,,,,,,,
DP275,D5,Add Foxy to the list of released distros ros2_documentation,https://github.com/ros2/ros2_documentation/pull/747,Main Meta-Ticket,No,,,,,,,,,,
DP276,D5,Add API documentation for Galactic docs.ros2.org,https://github.com/ros2/docs.ros2.org/pull/56,Main Meta-Ticket,No,,,,,,,,,,
DP277,D5,Add ROS 2 Galactic Geochelone ros-infrastructure/rosindex,https://github.com/ros-infrastructure/rosindex/pull/264,Main Meta-Ticket,No,,,,,,,,,,
DP278,D5,Release of ROS 2 Galactic Geochelone,https://github.com/ros2/ros2/pull/1147,Main Meta-Ticket,No,,,,,,,,,,
DP279,D5,Mark ROS 2 Galactic as an 'active' distribution ros/rosdistro,https://github.com/ros/rosdistro/pull/29635,Main Meta-Ticket,No,,,,,,,,,,
DP280,D5,Add humble osrf/docker_images,https://github.com/osrf/docker_images/pull/622,Main Meta-Ticket,No,,,,,,,,,,
DP281,D5,osrf/docker_images,https://github.com/osrf/docker_images/pull/620,Main Meta-Ticket,No,,,,,,,,,,
DP282,D5,ros-infrastructure/www.ros.org,https://github.com/ros-infrastructure/www.ros.org/pull/35,Main Meta-Ticket,No,,,,,,,,,,
DP283,D5,ros-infrastructure/www.ros.org,https://github.com/ros-infrastructure/www.ros.org/pull/37,Main Meta-Ticket,No,,,,,,,,,,
DP284,D5,https://github.com/ros2/ros2_documentation/pull/2580/files,https://github.com/ros2/ros2_documentation/pull/2580/files,Main Meta-Ticket,No,,,,,,,,,,
DP285,D6,API documentation generation for Python packages: Iron adds automatic API documentation for Python packages.,-,Documentation,No,,,,,,,,,,
DP286,D6,Service introspection: It is now possible to enable service introspection on a per-service basis.,-,Documentation,No,,,,,,,,,,
DP287,D6,Pre and post set parameter callback support: This release adds in a pre and post callback.,-,Documentation,No,,,,,,,,,,
DP288,D6,"Improved discovery options: ROS Iron retains the same default discovery behavior, but deprecates ROS_LOCALHOST_ONLY in favor of more granular options.",-,Documentation,No,,,,,,,,,,
DP289,D6,Matched events: Matched events can be generated when any publisher and subscription establishes or drops the connection between them.,-,Documentation,No,,,,,,,,,,
DP290,D6,External configuration services of loggers: It is now possible to configure node logger levels remotely via a service.,-,Documentation,No,,,,,,,,,,
DP291,D6,"Type Description Distribution: It is now possible to communicate information about the types of ROS 2 messages, with new features such as RIHS and GetTypeDescription service.",-,Documentation,No,,,,,,,,,,
DP292,D6,"Dynamic Types and Dynamic Messages: Introduction of dynamic types and messages at runtime, with new rmw interfaces for dynamic message support.",-,Documentation,No,,,,,,,,,,
DP293,D6,PythonExpression now supports importing modules: It is now possible to have a launch PythonExpression import modules.,-,Documentation,No,,,,,,,,,,
DP294,D6,ReadyToTest can be called from an event handler: It is now possible to register an event handler that uses ReadyToTest in its output.,-,Documentation,No,,,,,,,,,,
DP295,D6,Addition of AnySubstitution and AllSubstitution: It is now possible to specify a substitution for when any or all of the input arguments are true.,-,Documentation,No,,,,,,,,,,
DP296,D6,Addition of a new substitution to get the launch logging directory: It is now possible to use a substitution called LaunchLogDir to get the current logging directory for launch.,-,Documentation,No,,,,,,,,,,
DP297,D6,Add a LifecycleTransition action: It is now possible to send a transition signal to a lifecycle node via the new LifeCycleTransition action.,-,Documentation,No,,,,,,,,,,
DP298,D6,Add a SetROSLogDir action: It is now possible to configure the directory used for logging via the SetROSLogDir action.,-,Documentation,No,,,,,,,,,,
DP299,D6,Ability to specify a condition to a ComposableNode: It is now possible to specify a condition that must be satisfied for a ComposableNode to be inserted.,-,Documentation,Yes,,,,controle sobre a inicialização e execução dos nós compostos,,,,,,
DP300,D6,Timeout for process startup is now configurable: A new decorator called ready_to_test_action_timeout allows the user to configure the amount of time to wait for processes to start.,-,Documentation,No,,,,,,,,,,
DP301,D6,Addition of a new paradigm for handling Node and LifecycleNode: Introduction of a new NodeInterfaces class that contains the interfaces and can be used by other code.,-,Documentation,No,,,,,,,,,,
DP302,D6,Introduction of a new executor type: the Events Executor: The EventsExecutor from iRobot has been merged into the main rclcpp codebase.,-,Documentation,No,,,,,,,,,,
DP303,D6,Ability to wait for another node to join the graph: It is now possible to wait for another node to join the network graph.,-,Documentation,No,,,,,,,,,,
DP304,D6,"Implementation of AsyncParameterClient: rclpy now has an AsyncParameterClient class, bringing it to feature parity with rclcpp.",-,Documentation,No,,,,,,,,,,
DP305,D6,Subscription callbacks can now optionally get the message info: It is now possible to register for a subscription callback with a function signature that takes both the message and the message info.,-,Documentation,No,,,,,,,,,,
DP306,D6,Optional argument that hides assertions for messages class: All message classes now include a new optional argument that allows hiding assertions for each field type from the message.,-,Documentation,No,,,,,,,,,,
DP307,D6,Option to timeout when waiting for a node with ros2 param: It is now possible to have the various ros2 param commands timeout by passing --timeout to the command.,-,Documentation,No,,,,,,,,,,
DP308,D6,ros2 topic pub now as keyword for builtin_interfaces.msg.Time and auto for std_msgs.msg.Header: ros2 topic pub now allows setting a builtin_interfaces.msg.Time message to the current time via the now keyword and auto for std_msgs.msg.Header.,-,Documentation,No,,,,,,,,,,
DP309,D6,ros2 topic pub can be configured to wait a maximum amount of time: The command ros2 topic pub -w 1 will wait for at least that number of subscribers before publishing a message with a --max-wait-time option.,-,Documentation,No,,,,,,,,,,
DP310,D6,ros2 topic echo can be configured to wait a maximum amount of time: The command ros2 topic echo now accepts a --timeout option.,-,Documentation,No,,,,,,,,,,
DP311,D6,Change to the default console logging file flushing behavior: Log file flushing was changed to flush every time an “error” log message is used.,-,Documentation,No,,,,,,,,,,
DP312,D6,Include dependencies are now marked as SYSTEM: Dependencies are now automatically added as SYSTEM when using ament_auto_add_executable or ament_auto_add_library.,-,Documentation,No,,,,,,,,,,
DP313,D6,"Package has been deprecated and removed: The Python nose package has long been deprecated, and this release removes the ament wrapper around it.",-,Documentation,No,,,,,,,,,,
DP314,D6,Files can be excluded from linter checks: Certain files can now be excluded from linter checks by setting the AMENT_LINT_AUTO_FILE_EXCLUDE CMake variable.,-,Documentation,No,,,,,,,,,,
DP315,D6,Lifecycle node support: camera_info_manager now supports lifecycle nodes in addition to regular ROS 2 nodes.,-,Documentation,No,,,,,,,,,,
DP316,D6,LaunchConfigurationEquals and LaunchConfigurationNotEquals are deprecated: These conditions are deprecated in favor of the more universal Equals and NotEquals substitutions.,-,Documentation,No,,,,,,,,,,
DP317,D6,Renamed classes which used Ros in the name to use ROS in line with PEP8: Classes have been renamed to follow PEP8 guidelines.,-,Documentation,No,,,,,,,,,,
DP318,D6,"Default number of threads for multi-threaded executor has been changed: ""If the user doesn’t specify otherwise, the default number of threads for the multi-threaded executor will be set to the number of CPUs on the machine.""",-,Documentation,Yes,,,,"padrão de threads, arquitetura",,,,,,
DP319,D6,"A warning is now printed when QoS of KEEP_LAST is specified with a depth of 0: ""rclpy will now print a warning if this combination is specified, but will still continue on and let the underlying middleware choose a sane value (generally a depth of 1).""",-,Documentation,No,,,,,,,,,,
DP320,D6,"Time and Duration no longer raise exception when compared to another type: ""It is now possible to compare rclpy.time.Time and rclpy.duration.Duration to other types without getting exceptions.""",-,Documentation,No,,,,,,,,,,
DP321,D6,"Improve the performance of message logging: ""The code used to output a log message when RCUTILS_LOG_* or RCLCPP_* was optimized to reduce overhead.""",-,Documentation,Yes,,,,performance de logging de mensagens,,,,,,
DP322,D6,"Deprecated rcutils/get_env.h header was removed: ""In Iron, the rcutils/get_env.h header has been completely removed.""",-,Documentation,No,,,,,,,,,,
DP323,D6,"Change the GID storage to 16 bytes: ""This release defines it as 16 bytes (the DDS standard), and changes all implementations to use that definition.""",-,Documentation,No,,,,,,,,,,
DP324,D6,"Change the GID storage to 16 bytes: ""Along with the change in the rmw layer, change the message that sends out GID information to 16 bytes.""",-,Documentation,No,,,,,,,,,,
DP325,D6,"ros2 topic hz/bw/pub now respect use_sim_time: ""The node created by the ros2 topic commands hz, bw, and pub now respect that parameter and will use simulation time as appropriate.""",-,Documentation,No,,,,,,,,,,
DP326,D6,"Change default bag file type to mcap: ""This release switches to using mcap as the default file format for writing new bags.""",-,Documentation,No,,,,,,,,,,
DP327,D6,"Store message definitions in bag files with SQLite3 plugin: ""Now we support saving message definitions to the sqlite3 database file in the same format as we are saving it to the mcap file.""",-,Documentation,No,,,,,,,,,,
DP328,D6,"New playback and recording controls: ""Pull request 960 adds the ability to play bag for a specified number of seconds. And pull request 1005 allows to play bag until specified timestamp. Another pull request 1007 adds the ability to stop playback remotely via service call.""",-,Documentation,No,,,,,,,,,,
DP329,D6,"Managing recording via service calls: ""The pull request 1131 adds the ability to pause and resume recording via service calls. Another pull request 1115 adds the ability to split bags during recording by sending service call.""",-,Documentation,No,,,,,,,,,,
DP330,D6,"Filtering topics via regular expression during playback: ""Pull request 1034 adds a new option --topics-regex that allows filtering topics via regular expressions...",-,Documentation,No,,,,,,,,,,
DP331,D6,"Allow plugins to register their own CLI verb arguments: ""Pull request 1209 adds the ability for rosbag2 plugins to register an optional Python entrypoint providing plugin-specific CLI argument values.""",-,Documentation,No,,,,,,,,,,
DP332,D6,"Modification of content of slots attribute: ""In Iron, this attribute no longer contains only the field names from the message structure, but the field names for all the class members.""",-,Documentation,No,,,,,,,,,,
DP333,D6,"Map display can now be shown as binary: ""The RViz map display can now display the map as binary, with a settable threshold.""",-,Documentation,No,,,,,,,,,,
DP334,D6,"Camera display plugin respects the ROI in the CameraInfo message: ""The CameraDisplay plugin now honors the region-of-interest (ROI) settings in the CameraInfo message.""",-,Documentation,Yes,,,,visualização de imagem/objetos,,,,,,
DP335,D6,"Binary STL files from SOLIDWORKS work without error: ""A change was made to the STL loader such that it accepts binary STL files from SOLIDWORKS that have the word 'solid' in them.""",-,Documentation,No,,,,,,,,,,
DP336,D6,"Tracing instrumentation is now included by default on Linux: ""In Iron, the tracing instrumentation and tracepoints are included by default; the LTTng tracer is therefore now a ROS 2 dependency.""",-,Documentation,No,,,,,,,,,,
DP337,D6,"New tracepoints for rclcpp intra-process are added: ""New tracepoints have been added to support rclcpp intra-process communication.""",-,Documentation,Yes,,,,"comunicação intra-processo, monitoramento",,,,,,
DP338,D7,"Changes to how ROS 2 and Gazebo integrate: gz_*_vendor packages: ""To make it easier for ROS 2 packages to consume Gazebo packages, there are now gz_*_vendor packages.""",-,Documentation,No,,,,,,,,,,
DP339,D7,"New VelocityStamped message: ""New VelocityStamped message: Added a new message with all fields needed to define a velocity and transform it.""",-,Documentation,No,,,,,,,,,,
DP340,D7,"Adds ARROW_STRIP to Marker.msg: ""Added new type of Marker, ARROW_STRIP, to Marker.msg.""",-,Documentation,No,,,,,,,,,,
DP341,D7,Support lazy subscribers: See https://github.com/ros-perception/image_common/issues/272 for more details.,-,Documentation,No,,,,,,,,,,
DP342,D7,"Expose option to set callback groups: ""Expose option to set callback groups: See https://github.com/ros-perception/image_common/issues/274 for more details.""",-,Documentation,No,,,,,,,,,,
DP343,D7,"Enable allow list: ""Added parameter so users can selectively disable image_transport plugins at runtime.""",-,Documentation,No,,,,,,,,,,
DP344,D7,"Advertise and subscribe with custom QoS: ""Allow users to pass in a custom quality-of-service when creating image_transport publishers and subscribers.""",-,Documentation,No,,,,,,,,,,
DP345,D7,"Added rclcpp component to Republish: ""Users can now start the image_transport republisher node as an rclcpp_component.""",-,Documentation,No,,,,,,,,,,
DP346,D7,"TypeAdapters support: ""TypeAdapters support: Allows users to use Type Adaptation within message_filters.""",-,Documentation,No,,,,,,,,,,
DP347,D7,"Add get type description service: ""Implements the ~/get_type_description service which allows external users to get descriptions of each type that a node offers.""",-,Documentation,No,,,,,,,,,,
DP348,D7,"Type support helper for services: ""New type support helper for services rclcpp::get_service_typesupport_handle is added to extract service type support handle.""",-,Documentation,No,,,,,,,,,,
DP349,D7,"ParameterEventHandler: ""New class ParameterEventHandler allows us to monitor and respond changes to parameters via parameter events.""",-,Documentation,No,,,,,,,,,,
DP350,D7,"Added a --log-file-name command line argument: ""It is now possible to use --log-file-name command line argument to specify the log file name prefix.""",-,Documentation,No,,,,,,,,,,
DP351,D7,"Added QoS to subscription options: ""A user-settable QoS parameter was added to the TopicStatisticsOptions, which allows the statistics to have a different QoS from the subscription itself.""",-,Documentation,No,,,,,,,,,,
DP352,D7,"Add clients and services count: ""It is now possible to get the number of clients created by a service.""",-,Documentation,No,,,,,,,,,,
DP353,D7,"type sub-command supported: ""It is now possible to use the type sub-command to check the action type.""",-,Documentation,No,,,,,,,,,,
DP354,D7,"Service recording and playback: ""It is now possible to record and play service data with the ros2bag command line interface.""",-,Documentation,No,,,,,,,,,,
DP355,D7,"New filter modes: ""It is now possible to filter by topic type.""",-,Documentation,No,,,,,,,,,,
DP356,D7,"Player and Recorder are now exposed as rclcpp components: ""This allows a 'zero-copy' when using intra-process communication during data record or reply.""",-,Documentation,No,,,,,,,,,,
DP357,D7,"Added option to disable recorder keyboard controls: ""Added option to disable recorder keyboard controls.""",-,Documentation,No,,,,,,,,,,
DP358,D7,"Use middleware send and receive timestamps from message_info during recording: ""rosbag2 now uses the send and receive timestamps as provided by the middleware.""",-,Documentation,No,,,,,,,,,,
DP359,D7,"Added compression threads priority to record options: ""It is now possible to specify the priority of the thread that performs compression.""",-,Documentation,Yes,,,,prioridade dos threads de compressão de dados,,,,,,
DP360,D7,"Added ability to split already existing ros2 bags by time: ""Added start_time_ns and end_time_ns to the StorageOptions to exclude messages not in [start_time;end_time] during the ros2 bag convert operation.""",-,Documentation,No,,,,,,,,,,
DP361,D7,"Store serialized metadata in bag files directly: ""rosbag2 has always stored metadata in the metadata.yaml file associated with a bag file. Now the metadata is also stored in each bag file.""",-,Documentation,No,,,,,,,,,,
DP362,D7,"Store ROS_DISTRO name in the metadata: ""Store ROS_DISTRO name in the metadata.""",-,Documentation,No,,,,,,,,,,
DP363,D7,"Added introspection QoS methods to Python bindings: ""It is now possible to instrospect QoS setting from Python bindings.""",-,Documentation,No,,,,,,,,,,
DP364,D7,"Added interfaces to support key annotation: ""The key annotation allows indicating that a data member is part of the key, which can have zero or more key fields and can be applied to structure fields of various types.""",-,Documentation,No,,,,,,,,,,
DP365,D7,"Added regex filter field for TF display: ""When there are many frames on /tf it can be hard to properly visualize them in RViz. Now it is possible to filter frames using regular expressions.""",-,Documentation,No,,,,,,,,,,
DP366,D7,"Append measured subscription frequency to topic status: ""It is possible to visualize Hz in the topic status widget.""",-,Documentation,No,,,,,,,,,,
DP367,D7,"Reset functionality: ""It is possible to reset Time using a new service or using the keyboard shortcut R.""",-,Documentation,No,,,,,,,,,,
DP368,D7,"Added support for point_cloud_transport: ""It is possible to subscribe to point clouds using the point_cloud_transport package.""",-,Documentation,No,,,,,,,,,,
DP369,D7,"Feature parity with RViz for ROS: ""It is possible to use the same plugins available in the ROS 1 version.""",-,Documentation,No,,,,,,,,,,
DP370,D7,"Camera info display: ""It is possible to visualize CameraInfo messages in the 3D scene.""",-,Documentation,Yes,,,,exibição de informações da câmera,,,,,,
DP371,D7,"Added tl_expected: ""std::expected is C++23 feature, which is not yet supported in ROS 2. However, it is possible to use tl::expected from rcpputils via a backported implementation.",-,Documentation,No,,,,,,,,,,
DP372,D7,"Add human readable date to logging formats: ""It is now possible to output dates in a human readable format when using console logging by using the {date_time_with_ms} token in the RCUTILS_CONSOLE_OUTPUT_FORMAT environment variable.""",-,Documentation,No,,,,,,,,,,
DP373,D7,"Enabled Twist interpolator: ""Included new API to lookup the velocity of the moving frame in the reference frame.""",-,Documentation,No,,,,,,,,,,
DP374,D7,"Enabled Twist interpolator: ""Included new API to lookup the velocity of the moving frame in the reference frame.""",-,Documentation,No,,,,,,,,,,
DP375,D7,"Add new node interface TypeDescriptionsInterface: ""Add new node interface TypeDescriptionsInterface to provide the GetTypeDescription service.""",-,Documentation,No,,,,,,,,,,
